Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;Effective group motion 2;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Friction intensity;Max speed intensity
57,00111;2008,314;0,4710965;3,946585;0,8938264;0,04914091;0,058391;20;39;0,975;2;0,03913066;0,9782665;0,987353;35,01709;0,610885;1;4,5;1;1,6;0,1;0,04
57,50113;2021,357;0,4723291;3,995535;0,9054892;0,03955241;0,0448365;20;39;0,975;2;0,0394367;0,9859174;0,9977147;65,63943;0,5856961;1;4,5;1;1;0,1;0,04
58,00114;2035,481;0,4736544;4,048911;0,9167882;0,05822352;0,0619349;20;39;0,975;2;0,03977722;0,9944305;0,9983574;12,82714;0,5368432;1;4,5;1;1;0,1;0,04
58,50115;2050,28;0,4750324;4,105237;0,9274271;0,1101278;0,1145484;20;39;0,975;2;0,03964873;0,9912182;0,9970282;17,74301;0,5510446;1;4,5;1;1;0,1;0,04
59,00116;2065,194;0,4764099;4,162454;0,9382012;0,1146538;0,1211812;20;39;0,975;2;0,03927474;0,9818686;0,9986138;29,32159;0,5380032;1;4,5;1;1;0,1;0,04
59,50117;2079,906;0,4777584;4,219228;0,9486215;0,130806;0,1457711;20;39;0,975;2;0,03921366;0,9803416;0,9988859;13,41161;0,5464654;1;4,5;1;1;0,1;0,04
60,00118;2095,008;0,4791321;4,278254;0,9590927;0,1715879;0,1863595;20;39;0,975;2;0,03898979;0,9747447;0,997148;5,733032;0,5338421;1;4,5;1;1;0,1;0,04
60,50119;2109,915;0,4804769;4,336869;0,9694167;0,1496746;0,1695696;20;39;0,975;2;0,03945925;0,9864813;0,9953138;11,4572;0,5365642;1;4,5;1;1;0,1;0,04
61,00121;2123,573;0,4817004;4,39021;0,9736893;0,171294;0,2073734;20;39;0,975;2;0,0394273;0,9856824;0,9943377;-2,632666;0,5991772;1;4,5;1;1;0,1;0,04
61,50122;2136,898;0,4828856;4,442784;0,9780364;0,179246;0,2568815;20;39;0,975;2;0,03967404;0,991851;0,992638;-1,08442;0,5993912;1;4,5;1;1;0,1;0,04
62,00123;2150,885;0,4841208;4,498887;0,9831684;0,1788903;0,1890974;20;39;0,975;2;0,03930699;0,9826747;0,9901674;6,299259;0,5744909;1;4,5;1;1;0,1;0,04
62,50124;2164,999;0,4853586;4,556129;0,9876376;0,1857951;0,1915503;20;39;0,975;2;0,03970232;0,992558;0,9991606;-8,171489;0,5767386;1;4,5;1;1;0,1;0,04
63,00125;2178,805;0,4865607;4,612561;0,9933854;0,1764726;0,1854019;20;39;0,975;2;0,03949323;0,9873309;0,9915375;-8,888172;0,5912406;1;4,5;1;1;0,1;0,04
63,50126;2192,164;0,4877158;4,66762;0,9960632;0,2374109;0,2509819;20;39;0,975;2;0,04990887;0,8318145;0,8376208;-13,62521;0,5884231;1;4,5;1;1;0,1;0,06
64,00127;2228,867;0,4908499;4,819673;0,989628;0,2010574;0,249457;20;39;0,975;2;0,1496313;0,9351957;0,951029;-10,54487;0,3555874;1;4,5;1;1;0,1;0,18
64,50119;2287,244;0,4957183;5,06902;0,986488;0,2240938;0,2613551;20;39;0,975;2;0,1883725;0,9418623;0,9589109;13,07378;0,3624028;1;4,5;1;1;0,1;0,2
65,00111;2345,215;0,5004173;5,325968;0,9844943;0,2825908;0,3741208;20;39;0,975;2;0,1894589;0,9472943;0,9647486;17,6361;0,3467192;1;4,5;1;1;0,1;0,2
65,50102;2398,954;0,5046583;5,569555;0,9904159;0,3132657;0,3905272;40;40;1;1;0,1900071;0,9500355;0,9500355;33,33894;0,3356885;1;4,5;1;1;0,1;0,2
66,00094;2446,485;0,5083202;5,791502;0,9943325;0,2937374;0,3965719;40;40;1;1;0,1855659;0,9278294;0,9278294;38,83969;0,4311559;1;4,5;1;1;0,1;0,2
66,50085;2488,081;0,5114594;5,99047;0,9972431;0,3775461;0,4298505;40;40;1;1;0,1957898;0,9789491;0,9789492;45,51576;0,4316313;1;4,5;1;1;0,1;0,2
67,00077;2522,986;0,5140476;6,160984;0,9969733;0,4629868;0,625396;40;40;1;1;0,1928494;0,9642471;0,9642471;47,6725;0,5237032;1;4,5;1;1;0,1;0,2
67,50069;2552,294;0,5161893;6,309236;0,9990528;0,4926935;0,5686315;40;40;1;1;0,1923031;0,9615156;0,9615157;60,16824;0,4816785;1;4,5;1;1;0,1;0,2
