Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Friction intensity;Max speed intensity
49,00093;1431,718;0,4061421;2,031645;0,540517;0,161181;40;40;1;1;0,03999999;0,9999997;0,9999997;-56,79109;0,7910466;1,7;2,7;1;0;0,1;0,04
49,50094;1421,399;0,404752;2,004478;0,5347827;0,1889174;40;40;1;1;0,03999999;0,9999997;0,9999997;-52,88105;0,7956226;1,7;2,7;1;0;0,1;0,04
50,00095;1411,164;0,4033635;1,977752;0,529093;0,2038584;40;40;1;1;0,03999999;0,9999997;0,9999997;-60,90037;0,796845;1,7;2,7;1;0;0,1;0,04
50,50097;1401,191;0,4020009;1,951918;0,5231173;0,2282574;40;40;1;1;0,03999999;0,9999997;0,9999997;-63,89043;0,8003519;1,7;2,7;1;0;0,1;0,04
51,00098;1391,064;0,400608;1,925826;0,5170414;0,2264917;40;40;1;1;0,03999999;0,9999997;0,9999997;-65,11871;0,7912179;1,7;2,7;1;0;0,1;0,04
51,50099;1380,875;0,3991965;1,899769;0,5110341;0,2082699;40;40;1;1;0,03999999;0,9999997;0,9999997;-69,95963;0,7847583;1,7;2,7;1;0;0,1;0,04
52,001;1370,723;0,3977801;1,873929;0,5046307;0,2110701;40;40;1;1;0,03999999;0,9999997;0,9999997;-75,96481;0,7954934;1,7;2,7;1;0;0,1;0,04
52,50101;1360,74;0,396378;1,848671;0,4981318;0,2186387;40;40;1;1;0,03999999;0,9999998;0,9999998;-74,353;0,7995669;1,7;2,7;1;0;0,1;0,04
53,00102;1350,805;0,3949718;1,823745;0,4913529;0,2088752;40;40;1;1;0,03999999;0,9999997;0,9999998;-73,82217;0,8071687;1,7;2,7;1;0;0,1;0,04
53,50103;1341,124;0,393593;1,799594;0,4846637;0,2151156;40;40;1;1;0,03999999;0,9999998;0,9999997;-71,32887;0,8154669;1,7;2,7;1;0;0,1;0,04
54,00105;1331,45;0,3922052;1,775586;0,4779478;0,2199322;40;40;1;1;0,03999999;0,9999998;0,9999998;-73,54932;0,8063068;1,7;2,7;1;0;0,1;0,04
54,50106;1321,728;0,3908012;1,751605;0,471184;0,2084677;40;40;1;1;0,03999999;0,9999997;0,9999998;-65,73151;0,8057966;1,7;2,7;1;0;0,1;0,04
55,00107;1312,013;0,3893885;1,72782;0,4645386;0,1957871;40;40;1;1;0,03999999;0,9999997;0,9999997;-66,8503;0,7979388;1,7;2,7;1;0;0,1;0,04
55,50108;1302,303;0,3879664;1,704139;0,4579923;0,1866033;40;40;1;1;0,03999999;0,9999998;0,9999997;-70,8516;0,7973587;1,7;2,7;1;0;0,1;0,04
56,00109;1291,688;0,3864004;1,678281;0,451088;0,1848006;40;40;1;1;0,03999999;0,9999997;0,9999997;-67,20038;0,7411216;1,7;6;1;0;0,1;0,04
56,5011;1278,615;0,384455;1,6463;0,4437158;0,13736;40;40;1;1;0,03999999;0,9999997;0,9999997;-92,04176;0,6490563;1,7;6,9;1;0;0,1;0,04
57,00111;1263,666;0,3822078;1,609682;0,4361868;0,0731177;40;40;1;1;0,03999999;0,9999997;0,9999998;176,8706;0,6063264;1,7;6,9;1;0;0,1;0,04
57,50113;1248,3;0,3798723;1,572231;0,4287469;0,1398736;40;40;1;1;0,03999999;0,9999997;0,9999997;167,0233;0,5897225;1,7;6,9;1;0;0,1;0,04
58,00114;1232,738;0,3774794;1,534703;0,4214293;0,157304;40;40;1;1;0,03999999;0,9999997;0,9999997;166,9989;0,578074;1,7;6,9;1;0;0,1;0,04
58,50115;1217,116;0,3750494;1,497488;0,4142692;0,1509124;40;40;1;1;0,03999999;0,9999997;0,9999997;162,787;0,5772383;1,7;6,9;1;0;0,1;0,04
59,00116;1201,438;0,3725817;1,460573;0,4072141;0,1471509;40;40;1;1;0,03999999;0,9999997;0,9999997;159,6129;0,5779802;1,7;6,9;1;0;0,1;0,04
59,50117;1185,817;0,3700938;1,424235;0,4002932;0,1482668;40;40;1;1;0,03999999;0,9999997;0,9999998;158,8725;0,5803742;1,7;6,9;1;0;0,1;0,04
60,00118;1170,23;0,3675815;1,388446;0,3934808;0,1467723;40;40;1;1;0,03999999;0,9999997;0,9999997;164,1819;0,5813007;1,7;6,9;1;0;0,1;0,04
60,50119;1154,685;0,3650461;1,353188;0,3867668;0,1542898;40;40;1;1;0,03999999;0,9999997;0,9999997;167,4636;0,5840557;1,7;6,9;1;0;0,1;0,04
61,00121;1139,144;0,3624802;1,3184;0,3801565;0,1580373;40;40;1;1;0,03999999;0,9999998;0,9999998;172,488;0,5772911;1,7;6,9;1;0;0,1;0,04
61,50122;1123,616;0,3598854;1,284086;0,3736408;0,1711009;40;40;1;1;0,03999999;0,9999997;0,9999997;170,5955;0,5769393;1,7;6,9;1;0;0,1;0,04
62,00123;1108,06;0,3572541;1,250131;0,3671353;0,1828534;40;40;1;1;0,03999999;0,9999997;0,9999997;169,9795;0,5714587;1,7;6,9;1;0;0,1;0,04
62,50124;1092,558;0,3545989;1,216693;0,3604188;0,2126124;40;40;1;1;0,03999999;0,9999997;0,9999997;165,8202;0,5780334;1,7;6,9;1;0;0,1;0,04
63,00125;1077,077;0,3519143;1,183674;0,3537523;0,2240988;40;40;1;1;0,03999999;0,9999998;0,9999997;165,0333;0,5757431;1,7;6,9;1;0;0,1;0,04
63,50126;1061,667;0,3492088;1,151232;0,3471972;0,2338206;40;40;1;1;0,03999999;0,9999997;0,9999997;163,6717;0,5821313;1,7;6,9;1;0;0,1;0,04
64,00127;1046,39;0,3464924;1,11945;0,3407314;0,2496849;40;40;1;1;0,03999999;0,9999998;0,9999998;163,6272;0,58973;1,7;6,9;1;0;0,1;0,04
64,50119;1031,199;0,3437576;1,088266;0,3343352;0,2597437;40;40;1;1;0,03999999;0,9999998;0,9999997;162,6137;0,5872139;1,7;6,9;1;0;0,1;0,04
65,00111;1015,977;0,3409824;1,057439;0,3279679;0,2681244;40;40;1;1;0,03999999;0,9999997;0,9999998;164,4549;0,5867962;1,7;6,9;1;0;0,1;0,04
65,50102;1000,77;0,3381745;1,027205;0,3217228;0,2603845;40;40;1;1;0,03999999;0,9999997;0,9999997;166,163;0,5850945;1,7;6,9;1;0;0,1;0,04
66,00094;985,6035;0,3353382;0,9975024;0,3155591;0,2648295;40;40;1;1;0,03999999;0,9999997;0,9999997;164,1814;0,5926157;1,7;6,9;1;0;0,1;0,04
66,50085;970,5386;0,3324844;0,9684356;0,3095432;0,2713363;40;40;1;1;0,03999999;0,9999998;0,9999997;165,6778;0,5958433;1,7;6,9;1;0;0,1;0,04
67,00077;955,5841;0,3296147;0,9400177;0,3036845;0,2721705;40;40;1;1;0,03999999;0,9999997;0,9999997;165,3418;0,6033828;1,7;6,9;1;0;0,1;0,04
67,50069;940,8809;0,3267569;0,9125236;0,2979388;0,2746762;40;40;1;1;0,03999999;0,9999997;0,9999997;168,0444;0,605144;1,7;6,9;1;0;0,1;0,04
68,0006;925,9155;0,3238101;0,8850092;0,2920934;0,2834038;40;40;1;1;0,03999999;0,9999997;0,9999997;166,2609;0,6131368;1,7;6,9;1;0;0,1;0,04
68,50052;911,2792;0,3208908;0,8584908;0,2863619;0,2940876;40;40;1;1;0,03999999;0,9999997;0,9999997;163,9512;0,6258744;1,7;6,9;1;0;0,1;0,04
69,00043;896,8915;0,3179835;0,8327703;0,2807093;0,3059753;40;40;1;1;0,03999999;0,9999997;0,9999997;160,0162;0,6341878;1,7;6,9;1;0;0,1;0,04
69,50035;882,503;0,3150386;0,8074292;0,2750952;0,3150515;40;40;1;1;0,03999999;0,9999997;0,9999997;159,1472;0,6309379;1,7;6,9;1;0;0,1;0,04
70,00027;868,1684;0,3120664;0,7825628;0,2694513;0,3207065;40;40;1;1;0,03999999;0,9999997;0,9999997;157,3926;0,6369148;1,7;6,9;1;0;0,1;0,04
70,50018;853,9576;0,3090814;0,7582983;0,2637821;0,3339743;40;40;1;1;0,03999999;0,9999998;0,9999998;157,1274;0,6394591;1,7;6,9;1;0;0,1;0,04
71,0001;839,7559;0,3060589;0,7344694;0,2581287;0,3412739;40;40;1;1;0,03999999;0,9999997;0,9999997;157,2731;0,643854;1,7;6,9;1;0;0,1;0,04
71,50002;825,6678;0,3030212;0,7112575;0,2525678;0,3476261;40;40;1;1;0,03999999;0,9999997;0,9999997;157,064;0,6538395;1,7;6,9;1;0;0,1;0,04
71,99993;811,78;0,2999876;0,6887172;0,2470701;0,3623961;40;40;1;1;0,03999999;0,9999998;0,9999997;155,8054;0,6648268;1,7;6,9;1;0;0,1;0,04
72,49985;798,1353;0,2969681;0,6668812;0,2416658;0,3803167;40;40;1;1;0,03999999;0,9999997;0,9999997;155,1157;0,6724928;1,7;6,9;1;0;0,1;0,04
72,99976;784,7059;0,2939572;0,6456895;0,2363567;0,3963732;40;40;1;1;0,03999999;0,9999997;0,9999997;154,062;0,6835305;1,7;6,9;1;0;0,1;0,04
